TransactionID,AccountID,CustomerID,BranchID,TransactionDate,Amount,TransactionType,Channel,Status
,ACC0001,CUST0001,BR001,2025-02-01,500.0,Deposit,Online,Completed
TXN_D_001,,CUST0001,BR001,2025-02-01,500.0,Deposit,Online,Completed
TXN_D_002,ACC0001,,BR001,2025-02-01,500.0,Deposit,Online,Completed
TXN_D_003,ACC0002,CUST0002,BR002,2025-02-02,-999.0,Withdrawal,ATM,Completed
TXN_D_004,ACC0003,CUST0003,BR003,2025-02-02,0.0,Payment,Online,Completed
TXN_D_005,ACC0004,CUST0004,BR004,2025-02-03,99999999.0,Transfer,Mobile,Completed
TXN_D_006,ACC0005,CUST0005,BR005,2099-01-01,1500.0,Deposit,Branch,Completed
TXN_D_007,ACC0006,CUST0006,BR006,not-a-date,250.0,Fee,Online,Completed
TXN_D_008,ACC9999,CUST9999,BR999,2025-02-04,750.0,Payment,Mobile,Completed
TXN_D_009,ACC0007,CUST0007,BR007,2025-02-04,300.0,Payment,Mobile,Completed
TXN_D_010,ACC0008,CUST0008,BR008,2025-02-05,1200.0,Deposit,Online,Completed
TXN_D_010,ACC0008,CUST0008,BR008,2025-02-05,1200.0,Deposit,Online,Completed
TXN_D_011,ACC0009,CUST0009,BR009,2025-02-06,500.0,HACK,Telepathy,Maybe
TXN_D_012,ACC0010,CUST0010,BR010,2025-02-06,850.0,Deposit,Mobile,Completed
TXN_D_013,ACC0011,CUST0011,BR001,2025-02-07,320.0,Payment,Online,Completed
TXN_D_014,ACC0012,CUST0012,BR002,2025-02-07,1750.0,Transfer,Mobile,Completed
